timer,hart,actual data,actual data diff,,
542.7918528,516,-3696,-369.6,,
543.6466431,515,-4419,-441.9,,
544.5014334,515,-4694,-469.4,,
545.3562237,514,-5066,-506.6,,
546.2110141,514,-6232,-623.2,,
547.0658044,514,-7026,-702.6,,
547.9205947,513,-6884,-688.4,,
548.775385,514,-6199,-619.9,,
549.6301753,514,-5718,-571.8,,
550.4849657,513,-5170,-517,,
551.339756,511,-3826,-382.6,,
552.1945463,511,-3535,-353.5,,
553.0493366,510,-3166,-316.6,,
553.9041269,508,-1482,-148.2,,
554.7589173,510,-2025,-202.5,,
555.6137076,511,-2531,-253.1,,
556.4684979,511,-1764,-176.4,,
557.3232882,513,-2901,-290.1,,
558.1780785,512,-3836,-383.6,,
559.0328689,514,-3288,-328.8,,
559.8876592,517,-3178,-317.8,,
560.7424495,517,-3817,-381.7,,
561.5972398,516,-3375,-337.5,,
562.4520301,517,-3621,-362.1,,
563.3068205,517,-4104,-410.4,,
564.1616108,515,-2598,-259.8,,
565.0164011,515,-2601,-260.1,,
565.8711914,516,-2728,-272.8,,
566.7259817,515,-2029,-202.9,,
567.5807721,514,-2907,-290.7,,
568.4355624,514,-3462,-346.2,,
569.2903527,515,-3587,-358.7,,
570.145143,516,-3757,-375.7,,
570.9999333,516,-4082,-408.2,,
571.8547236,516,-3963,-396.3,,
572.709514,518,-3664,-366.4,,
573.5643043,517,-4092,-409.2,,
574.4190946,518,-2353,-235.3,,
575.2738849,518,-1952,-195.2,,
576.1286752,519,-3030,-303,,
576.9834656,520,-1953,-195.3,,
577.8382559,520,-3036,-303.6,,
578.6930462,521,-4508,-450.8,,
579.5478365,522,-4418,-441.8,,
580.4026268,523,-4335,-433.5,,
581.2574172,523,-4114,-411.4,,
582.1122075,523,-4258,-425.8,,
582.9669978,523,-3677,-367.7,,
583.8217881,522,-3974,-397.4,,
584.6765784,522,-4124,-412.4,,
585.5313688,521,-3397,-339.7,,
586.3861591,521,-4312,-431.2,,
587.2409494,520,-4239,-423.9,,
588.0957397,519,-3957,-395.7,,
588.95053,519,-5043,-504.3,,
589.8053204,518,-4912,-491.2,,
590.6601107,517,-4182,-418.2,,
591.514901,516,-3941,-394.1,,
592.3696913,514,-4403,-440.3,,
593.2244816,512,-4001,-400.1,,
594.079272,509,-3955,-395.5,,
594.9340623,508,-4714,-471.4,,
595.7888526,505,-3472,-347.2,,
596.6436429,499,-3379,-337.9,,
597.4984332,487,-3432,-343.2,,
598.3532235,480,-2590,-259,,
599.2080139,476,-3022,-302.2,,
600.0628042,475,-2805,-280.5,,
600.9175945,474,-3305,-330.5,,
601.7723848,476,-3359,-335.9,,
602.6271751,479,-3126,-312.6,,
603.4819655,479,-3796,-379.6,,
604.3367558,483,-3294,-329.4,,
605.1915461,491,-3697,-369.7,,
606.0463364,502,-3031,-303.1,,
606.9011267,508,-2326,-232.6,,
607.7559171,509,-2904,-290.4,,
608.6107074,511,-1854,-185.4,,
609.4654977,513,-2583,-258.3,,
610.320288,510,-3246,-324.6,,
611.1750783,509,-2752,-275.2,,
612.0298687,508,-3638,-363.8,,
612.884659,505,-3654,-365.4,,
613.7394493,504,-3566,-356.6,,
614.5942396,503,-3712,-371.2,,
615.4490299,504,-3552,-355.2,,
616.3038203,505,-2696,-269.6,,
617.1586106,506,-1598,-159.8,,
618.0134009,504,-2011,-201.1,,
618.8681912,505,-2492,-249.2,,
619.7229815,502,-2580,-258,,
620.5777719,497,-3589,-358.9,,
621.4325622,497,-4296,-429.6,,
622.2873525,500,-3578,-357.8,,
623.1421428,502,-3000,-300,,
623.9969331,506,-3667,-366.7,,
624.8517234,510,-3014,-301.4,,
625.7065138,516,-2618,-261.8,,
626.5613041,521,-3629,-362.9,,
627.4160944,525,-2008,-200.8,,
628.2708847,529,-1752,-175.2,,
629.125675,531,-2577,-257.7,,
629.9804654,530,-1908,-190.8,,
630.8352557,531,-3186,-318.6,,
631.690046,530,-3688,-368.8,,
