timer,hart
1380,-14909
1381,-12537
1382,-12320
1383,-14230
1384,-11911
1385,-10811
1386,-10415
1387,-9483
1388,-9669
1389,-10234
1390,-9692
1391,-7793
1392,-7812
1393,-8156
1394,-6347
1395,-6981
1396,-8428
1397,-7580
1398,-7168
1399,-7721
1400,-6881
1401,-4751
1402,-5811
1403,-5285
1404,-4020
1405,-6528
1406,-6271
1407,-7516
1408,-9734
1409,-9034
1410,-8836
1411,-6582
1412,-4584
1413,-3558
1414,-2287
1415,-2261
1416,-2173
1417,-2440
1418,-2457
1419,-2828
1420,-3819
1421,-3467
1422,-3259
1423,-3406
1424,-3726
1425,-3170
1426,-3103
1427,-3745
1428,-1803
1429,-1477
1430,-1987
1431,-454
1432,-1253
1433,-2569
1434,-2233
1435,-1896
1436,-2508
1437,-2800
1438,-2279
1439,-3403
1440,-2193
1441,-113
1442,-1226
1443,-899
1444,-975
1445,-2451
1446,-2851
1447,-2755
1448,-2458
1449,-2913
1450,-2298
1451,-1924
1452,-1399
1453,29
1454,-871
1455,-970
1456,-1526
1457,-3832
1458,-3623
1459,-2652
1460,-2890
1461,-2513
1462,-2106
1463,-3485
1464,-3090
1465,-1437
1466,-1806
1467,-419
1468,1216
1469,1321
1470,2774
1471,3573
1472,4230
1473,3508
1474,4001
1475,5024
1476,3628
1477,6775
1478,8104
1479,8999
1480,10963
1481,10005
1482,10597
1483,7843
1484,6100
1485,5239
1486,1910
1487,959
1488,-342
1489,490
1490,1513
1491,798
1492,1424
1493,-231
1494,-1854
1495,-2174
1496,-2755
1497,-980
1498,186
1499,155
1500,-143
1501,230
1502,1314
1503,376
1504,-153
1505,-1573
1506,-4612
1507,-7078
1508,-7853
1509,-6462
1510,-7421
1511,-6770
1512,-5850
1513,-7838
1514,-5478
1515,-5702
1516,-6900
1517,-5067
1518,-8001
1519,-8658
1520,-7200
1521,-6996
1522,-5232
1523,-5509
1524,-5422
1525,-5658
1526,-5956
1527,-4205
1528,-4662
1529,-4922
1530,-3750
1531,-3513
1532,-3675
1533,-3017
1534,-1961
1535,-3535
1536,-3767
1537,-2858
1538,-3731
1539,-1798
1540,-1208
1541,-1650
1542,-581
1543,-2185
1544,-2156
1545,-1804
1546,-2195
1547,-1720
1548,-2228
1549,-1601
1550,-2506
1551,-1849
1552,-416
1553,-1827
1554,-1003
1555,-959
1556,-1742
1557,-1795
1558,-890
1559,438
1560,-1057
1561,660
1562,1294
1563,272
1564,3773
1565,3149
1566,1665
1567,2364
1568,478
1569,-753
1570,-201
1571,1438
1572,816
1573,234
1574,1121
1575,112
1576,1211
1577,987
1578,38
1579,1704
1580,-544
1581,-508
1582,1207
1583,13
1584,1047
1585,672
1586,-46
1587,840
1588,2896
1589,3634
1590,3571
1591,5845
1592,4801
1593,5916
1594,11501
1595,13926
1596,14897
1597,14057
1598,12175
1599,10829
1600,9403
1601,13426
1602,15978
1603,14461
1604,15172
1605,10948
1606,7397
1607,6961
1608,6299
1609,8474
1610,8636
1611,8887
1612,9062
1613,9403
1614,10122
1615,7849
1616,9866
1617,5347
1618,-8762
1619,-12331
1620,-10977
1621,-10398
1622,-1563
1623,8108
1624,8617
1625,7419
1626,7619
1627,6170
1628,7963
1629,9064
1630,7797
1631,8916
1632,7036
1633,5156
1634,7144
1635,7701
1636,6219
1637,4514
1638,5549
1639,6002
1640,4801
1641,4878
1642,2547
1643,307
1644,892
1645,946
1646,891
1647,2492
1648,3671
1649,3883
1650,4991
1651,5612
1652,4598
1653,4456
1654,4128
1655,2364
1656,2056
1657,1957
1658,1668
1659,1277
1660,1207
1661,1801
1662,1406
1663,1903
1664,2419
1665,2438
1666,2117
1667,858
1668,792
1669,730
1670,-72
1671,492
1672,1149
1673,-114
1674,392
1675,1401
1676,73
1677,489
1678,584
1679,-323
1680,-786
1681,-337
1682,569
1683,-1256
1684,-970
1685,-329
1686,-2501
1687,-941
1688,660
1689,-204
1690,-153
1691,-137
1692,-979
1693,-2033
1694,-1381
1695,-1192
1696,-1349
1697,-931
1698,-2090
1699,-1700
1700,-1332
1701,-1260
1702,222
1703,-992
1704,-1594
1705,-1557
1706,-3241
1707,-2750
1708,-2473
1709,-2723
1710,-2341
1711,-2287
1712,-499
1713,-628
1714,-1307
1715,61
1716,-1293
1717,-2277
1718,-1429
1719,-1342
1720,-1336
1721,-447
1722,-399
1723,-1355
1724,478
1725,425
1726,-296
1727,807
1728,-615
1729,-66
1730,-3
1731,-928
1732,453
1733,-865
1734,-1210
1735,-832
1736,-914
1737,579
1738,18
1739,545
1740,756
1741,-937
1742,-795
1743,-1009
1744,-1234
1745,-1037
1746,-1446
1747,-2048
1748,-1617
1749,-604
1750,-750
1751,-139
1752,-54
1753,-1106
1754,-1271
1755,-1728
1756,-1522
1757,-1586
1758,-2465
1759,-2024
1760,-2228
1761,-1580
1762,-470
1763,-933
1764,-639
1765,-1217
1766,-2707
1767,-2308
1768,-2310
1769,-2078
1770,-1562
1771,-1730
1772,-1755
1773,-1895
1774,-565
1775,-945
1776,-1296
1777,-397
1778,-1730
1779,-1810
1780,-2119
1781,-2016
1782,-1279
1783,-1647
1784,-1430
1785,-1643
1786,-1038
1787,-1385
1788,-2009
1789,-1078
1790,-1934
1791,-2291
1792,-1419
1793,-1508
1794,-1659
1795,-2093
1796,-2095
1797,-2660
1798,-2439
1799,-986
1800,-1270
1801,160
1802,419
1803,-2103
1804,-1929
1805,-2470
1806,-3170
1807,-2664
1808,-2125
1809,-2199
1810,-2791
1811,-890
1812,-812
1813,-1482
1814,-605
1815,-1782
1816,-2413
1817,-3278
1818,-3091
1819,-2077
1820,-2830
1821,-1809
1822,-2075
1823,-1684
