x,hart
1492,1988
1493,1988
1494,1982
1495,1982
1496,1987
1497,1996
1498,1996
1499,1991
1500,2000
1501,2000
1502,1983
1503,1989
1504,1989
1505,1998
1506,1994
1507,1994
1508,1991
1509,2000
1510,2000
1511,1983
1512,1991
1513,1991
1514,1997
1515,1997
1516,1996
1517,1999
1518,1999
1519,2007
1520,2002
1521,2002
1522,1991
1523,2002
1524,2002
1525,1998
1526,2002
1527,2002
1528,1997
1529,1995
1530,1995
1531,2003
1532,2003
1533,1998
1534,1998
1535,1998
1536,1995
1537,1993
1538,1993
1539,1997
1540,2014
1541,2014
1542,2008
1543,2026
1544,2026
1545,2031
1546,2029
1547,2029
1548,2039
1549,2052
1550,2052
1551,2045
1552,2045
1553,2049
1554,2045
1555,2045
1556,2036
1557,2044
1558,2044
1559,2025
1560,2029
1561,2029
1562,2033
1563,2019
1564,2019
1565,2017
1566,2007
1567,2007
1568,1999
1569,1992
1570,1992
1571,1992
1572,1992
1573,1975
1574,1995
1575,1995
1576,1989
1577,1981
1578,1981
1579,1978
1580,1971
1581,1971
1582,1972
1583,1993
1584,1993
1585,1983
1586,1977
1587,1977
1588,1977
1589,1971
1590,1971
1591,1983
1592,2003
1593,2003
1594,2017
1595,2017
1596,2038
1597,2077
1598,2077
1599,2111
1600,2165
1601,2165
1602,2230
1603,2291
1604,2291
1605,2371
1606,2420
1607,2420
1608,2457
1609,2464
1610,2464
1611,2396
1612,2396
1613,2289
1614,2172
1615,2172
1616,2030
1617,1943
1618,1943
1619,1884
1620,1852
1621,1852
1622,1844
1623,1836
1624,1836
1625,1836
1626,1849
1627,1849
1628,1864
1629,1864
1630,1877
1631,1889
1632,1889
1633,1877
1634,1891
1635,1891
1636,1897
1637,1908
1638,1908
1639,1927
1640,1912
1641,1912
1642,1913
1643,1940
1644,1940
1645,1938
1646,1924
1647,1924
1648,1943
1649,1945
1650,1945
1651,1935
1652,1935
1653,1959
1654,1959
1655,1959
1656,1956
1657,1963
1658,1963
1659,1961
1660,1970
1661,1970
1662,1979
1663,1964
1664,1964
1665,1983
1666,1986
1667,1986
1668,1965
1669,1965
1670,1995
1671,1991
1672,1991
1673,1984
1674,1998
1675,1998
1676,1985
1677,1987
1678,1987
1679,2007
1680,2001
1681,2001
1682,1996
1683,2008
